"asset","date","p_point","p_lo","p_med","p_hi","p_sd","n_ok"
"ETH",2019-05-16,0.0330093937700686,0.0289450411437919,0.487832593510024,0.976132918333728,0.300930804237079,25
"ETH",2019-08-14,0.999999999396497,0.691952192454858,0.998300040536293,0.999999999999071,0.125402831279263,25
"ETH",2019-11-12,0.0820184336443949,0.0490670285874274,0.177347414686547,0.901298175841432,0.276277475403083,25
"ETH",2020-02-10,0.102557134052796,0.0535085901811703,0.175450409920501,0.973866173133121,0.313804503183294,25
"ETH",2020-05-10,0.999991480017608,0.113590686400669,0.999993024210058,1,0.287411336510516,25
"ETH",2020-08-08,0.92323894736099,0.194809474598815,0.535019873503842,0.999944057812088,0.299742633676546,25
"ETH",2020-11-06,0.277569774294157,0.421857935507102,0.985682056696858,0.999999999978665,0.23780554539844,25
"ETH",2021-02-04,0.93351518788834,0.171755557521526,0.677566010835943,0.992583794012656,0.299002691256931,25
"ETH",2021-05-05,0.0705561286934774,0.183857593915235,0.53551042265986,0.998677993567866,0.288875439473557,25
"ETH",2021-08-03,0.0672263834319559,0.0369499974871084,0.7978621868891,0.996763882608457,0.346654779130759,25
"ETH",2021-11-01,0.373651181613244,0.015833500955932,0.278785961631358,0.932355752666614,0.311175300422263,25
"ETH",2022-01-30,0.184458142829279,0.00653037971935985,0.0922103140816753,0.880288159448293,0.320110359918571,25
"ETH",2022-04-30,0.457357306719834,0.0068534341422203,0.355893512257205,0.950938513357091,0.301296422503749,25
"ETH",2022-07-29,0.594430959553541,0.100948993455188,0.282383572963734,0.874416286082406,0.255313107075363,25
"ETH",2022-10-27,0.9022995638441,0.197818987251897,0.580259517922238,0.983755734629939,0.320812702684225,25
"ETH",2023-01-25,0.180022997042615,0.115922003407295,0.441907854072266,0.979247871193067,0.282793192725194,25
"ETH",2023-04-25,0.479835497612552,0.0706867890140139,0.234873742200081,0.936790693146224,0.289760755966477,25
"ETH",2023-07-24,0.282435040998532,0.0653722634987727,0.361911644331322,0.99228759010407,0.360252862262586,25
"ETH",2023-10-22,0.70890447193935,0.0714406217254821,0.87796765816164,0.995452458940317,0.356910729720293,25
"ETH",2024-01-20,0.462167354453599,0.261526970256147,0.58390412524328,0.770654788494537,0.189572049435333,25
"ETH",2024-04-19,0.58863566969679,0.356235937542147,0.542365497492501,0.646766070368944,0.104864739107128,25
"ETH",2024-07-18,0.561363311305721,0.2537374414108,0.546597774669762,0.793863403169276,0.172982124005887,25
"ETH",2024-10-16,0.213556254469055,0.159474151518423,0.452573199932556,0.675933877830221,0.181533723826582,25
"ETH",2025-01-14,0.573101031243944,0.0914727897056442,0.722371691310284,0.999647902173512,0.318256003858884,25
"ETH",2025-04-14,0.611782310744367,0.10849648308538,0.606228952965236,0.987582779271483,0.295629020479646,25
"ETH",2025-07-13,0.827091727694618,0.0688899356978421,0.376136075693076,0.816019078992379,0.261567079025766,25
"ETH",2025-10-11,0.247515971034922,0.161192242140768,0.5821982588808,0.935588355449123,0.256096926385432,25
"ETH",2026-01-09,0.569400434696124,0.0920898085230723,0.542075621454365,0.705120306441161,0.21039929881899,25
"ETH",2026-04-09,0.351983667073219,0.0744349104718624,0.417320943170158,0.604118126924094,0.165867571693066,25
"ETH",2026-07-08,0.999182657510589,0.208165841230313,0.965607579663716,0.999586577672075,0.284691545911688,25
