asset,model,in_mcs,es_99_1d,n_star_usd,bind_rate,mean_utilisation,max_utilisation,budget_breach_rate,flagged_breach_rate,es_exceedance_rate,worst_loss_usd
BTC,AWHS,True,-0.11537537240418626,1040083.3167377576,0.5127150336574421,0.9999999999999998,2.6383746145863567,0.004113687359760658,0.7272727272727273,0.005235602094240838,489424.7360349345
BTC,CAViaR-AS,True,-0.11022376572796613,1088694.4317994157,0.46783844427823484,1.0000000000000002,4.589499740547502,0.0048616305160807775,0.7692307692307693,0.005983545250560957,512299.3286512629
BTC,CAViaR-SAV,True,-0.11161639561729024,1075110.8682227603,0.4801795063575168,1.0,5.770021444884967,0.004487658937920718,0.75,0.0048616305160807775,505907.40608993353
BTC,CAViaR-X-AS,True,-0.10885675576229549,1102366.1247266766,0.45400149588631267,0.9999999999999998,4.383738945567891,0.0048616305160807775,0.8461538461538461,0.005235602094240838,518732.72162507067
BTC,EGARCH-t,True,-0.15248298319410772,786973.0607725746,0.3470456245325355,1.0002257251471045,16.729735941687256,0.0011219147344801795,0.0,0.0029917726252804786,370320.4121601496
BTC,EWMA,True,-0.08000213719447268,1499959.92867414,0.4143605086013463,0.9999999999999998,3.9933309499002645,0.014210919970082274,0.7368421052631579,0.014584891548242334,705825.6587144332
BTC,FHS,True,-0.1175206384965381,1021097.2433028002,0.40463724756918473,1.0,8.889588122253526,0.0033657442034405387,0.6666666666666666,0.004113687359760658,480490.592173855
BTC,GARCH-EVT,True,-0.12939524079109782,927391.1410214385,0.3706058339566193,1.0,6.802726567144295,0.002617801047120419,0.7142857142857143,0.004487658937920718,436395.96664157993
BTC,GARCH-X,True,-0.15708734531695878,763906.2189119895,0.29693343305908754,1.0,10.07337626490912,0.0011219147344801795,0.3333333333333333,0.0033657442034405387,359466.00962614286
BTC,GARCH-t,True,-0.1339882466327376,895600.9427373175,0.40650710545998503,1.0,5.2000780235249975,0.002617801047120419,0.7142857142857143,0.0029917726252804786,421436.67525278527
BTC,GJR-GARCH-t,True,-0.13335619240327423,899845.7277268041,0.4080029917726253,1.0,5.606358336949583,0.002617801047120419,0.8571428571428571,0.0029917726252804786,423434.1140536696
BTC,HAR-RV,True,-0.08533020215445533,1406301.6021313206,0.4214659685863874,1.0,4.452485974729288,0.012341062079281975,0.8181818181818182,0.007853403141361256,661753.5146774851
BTC,HARQ,True,-0.08231532957448294,1457808.656301596,0.3870605833956619,1.0,5.366791602764519,0.013462976813762155,0.8055555555555556,0.014958863126402393,685990.8291171514
BTC,HS,True,-0.12181873879448363,985070.1229344365,0.4839192221391174,1.0,1.6868232114937303,0.0029917726252804786,0.625,0.002617801047120419,463537.56197653373
BTC,Jump-Diffusion,True,-0.11989146387861085,1000905.2864806041,0.5931189229618549,1.0000000000000002,1.7477636682802418,0.0029917726252804786,0.75,0.0037397157816005983,470989.0041965296
BTC,MS-GARCH,True,-0.10708476608429161,1120607.5746156292,0.4869109947643979,1.0000000000000004,3.486805645095518,0.0048616305160807775,0.6923076923076923,0.0037397157816005983,527316.4731891255
