date,asset,ess,n_train,var_cond,var_hs
2019-05-16,BTC,142.66795485051645,478,-0.10807648527516811,-0.10151864992218051
2019-06-05,BTC,184.4485608805618,478,-0.08614755312768452,-0.08614755312768452
2019-06-25,BTC,161.57859757956092,478,-0.08614755312768452,-0.08614755312768452
2019-07-15,BTC,105.18947936533957,478,-0.10981107797212175,-0.09058890161798772
2019-08-04,BTC,163.01231400329104,478,-0.06752307142874159,-0.09058890161798772
2019-08-24,BTC,152.16407118887142,478,-0.07080480679851142,-0.09058890161798772
2019-09-13,BTC,146.58293676862655,478,-0.10350388642900477,-0.09058890161798772
2019-10-03,BTC,163.4519120755183,478,-0.0807156278550778,-0.09058890161798772
2019-10-23,BTC,127.3973054541456,478,-0.09677413188610196,-0.0807156278550778
2019-11-12,BTC,193.3183670692582,478,-0.06473115388581085,-0.0807156278550778
2019-12-02,BTC,170.76850271092073,478,-0.06467223058122329,-0.0807156278550778
2019-12-22,BTC,189.3258251511749,478,-0.09058890161798772,-0.0807156278550778
2020-01-11,BTC,190.4209397560262,478,-0.06467223058122329,-0.0807156278550778
2020-01-31,BTC,206.2186006188125,478,-0.06467223058122329,-0.0807156278550778
2020-02-20,BTC,188.95105615779383,478,-0.05764581983648043,-0.0807156278550778
2020-03-11,BTC,197.22780592728895,478,-0.06417383879198901,-0.07379347618533671
2020-03-31,BTC,166.26139862055464,478,-0.09677413188610196,-0.07379347618533671
2020-04-20,BTC,187.95018688110346,478,-0.07049480469001956,-0.07379347618533671
2020-05-10,BTC,81.88587457924535,478,-0.09677413188610196,-0.07379347618533671
2020-05-30,BTC,169.28940620875792,478,-0.06013969783517581,-0.07379347618533671
2020-06-19,BTC,148.2175345463025,478,-0.0637799696925434,-0.07049480469001956
2020-07-09,BTC,133.8064194375711,478,-0.0807156278550778,-0.07049480469001956
2020-07-29,BTC,207.29963164802487,478,-0.06752307142874159,-0.07049480469001956
2020-08-18,BTC,189.18124917023835,478,-0.0807156278550778,-0.07049480469001956
2020-09-07,BTC,175.90471532995358,478,-0.0614883198703815,-0.07379347618533671
2020-09-27,BTC,146.25417052917172,478,-0.059202975350082454,-0.07379347618533671
2020-10-17,BTC,117.4363072163046,478,-0.0385491669713911,-0.06971232822366424
2020-11-06,BTC,178.72018993179336,478,-0.06971232822366424,-0.0637799696925434
2020-11-26,BTC,100.42526164610823,478,-0.08964058272657383,-0.06467223058122329
2020-12-16,BTC,124.32256275282161,478,-0.08964058272657383,-0.062135108757750857
2021-01-05,BTC,87.00972344738001,478,-0.08964058272657383,-0.062135108757750857
2021-01-25,BTC,109.86722161546135,478,-0.08964058272657383,-0.0637799696925434
2021-02-14,BTC,128.39063784673905,478,-0.07246724772432422,-0.0637799696925434
2021-03-06,BTC,155.5640444683268,478,-0.07246724772432422,-0.06668468349151979
2021-03-26,BTC,140.5105753709034,478,-0.06668468349151979,-0.06668468349151979
2021-04-15,BTC,192.38326073346923,478,-0.049385665603292495,-0.06668468349151979
2021-05-05,BTC,170.10245216674474,478,-0.06971232822366424,-0.06673090956474681
2021-05-25,BTC,93.8055280666189,478,-0.09304892911001339,-0.08319670796809397
2021-06-14,BTC,143.6631986807268,478,-0.07928222582666322,-0.08319670796809397
2021-07-04,BTC,190.37918079824325,478,-0.07246724772432422,-0.08319670796809397
2021-07-24,BTC,177.96477965472528,478,-0.06369979731169728,-0.07928222582666322
2021-08-13,BTC,180.6443544111905,478,-0.06971232822366424,-0.07928222582666322
2021-09-02,BTC,167.66567290936877,478,-0.049385665603292495,-0.0786867614033131
2021-09-22,BTC,189.9201900153208,478,-0.08976050791646983,-0.08319670796809397
2021-10-12,BTC,176.497704109363,478,-0.0969509813246443,-0.08319670796809397
2021-11-01,BTC,198.98739900440825,478,-0.0614883198703815,-0.08319670796809397
2021-11-21,BTC,203.81475075879345,478,-0.0634442344977586,-0.08319670796809397
2021-12-11,BTC,205.26896893667458,478,-0.08780938657305803,-0.08976050791646983
2021-12-31,BTC,175.0593814490576,478,-0.0969509813246443,-0.08780938657305803
2022-01-20,BTC,161.58821312521732,478,-0.09122778193176728,-0.08780938657305803
2022-02-09,BTC,196.90858616485718,478,-0.07246724772432422,-0.08976050791646983
2022-03-01,BTC,212.17756781910057,478,-0.0786867614033131,-0.08976050791646983
2022-03-21,BTC,187.96317932297407,478,-0.08780938657305803,-0.08780938657305803
2022-04-10,BTC,111.64667460649825,478,-0.11050523434569115,-0.08780938657305803
2022-04-30,BTC,167.66572674259535,478,-0.0969509813246443,-0.08780938657305803
2022-05-20,BTC,178.48368354810066,478,-0.06918108084878405,-0.08780938657305803
2022-06-09,BTC,136.29191412075562,478,-0.0969509813246443,-0.08780938657305803
2022-06-29,BTC,175.0755594051618,478,-0.08166697323152405,-0.08976050791646983
2022-07-19,BTC,173.84424253138832,478,-0.065075635375619,-0.08976050791646983
2022-08-08,BTC,161.3743899334394,478,-0.08251770685597926,-0.08976050791646983
2022-08-28,BTC,108.26121816382482,478,-0.11174545648269785,-0.09239918508628264
2022-09-17,BTC,153.9181583308532,478,-0.11174545648269785,-0.08780938657305803
2022-10-07,BTC,145.83291852262388,478,-0.11050523434569115,-0.08780938657305803
2022-10-27,BTC,98.1944166278725,478,-0.08251770685597926,-0.08251770685597926
2022-11-16,BTC,187.31195993844764,478,-0.11050523434569115,-0.08780938657305803
2022-12-06,BTC,79.895924000874,478,-0.06653201115062224,-0.08780938657305803
2022-12-26,BTC,79.65051608638804,478,-0.043479054595238154,-0.08780938657305803
2023-01-15,BTC,192.44075515440576,478,-0.10486027871137793,-0.08251770685597926
2023-02-04,BTC,122.37027466951706,478,-0.06345892260256214,-0.08251770685597926
2023-02-24,BTC,177.79006671213548,478,-0.10486027871137793,-0.08251770685597926
2023-03-16,BTC,195.8842865672639,478,-0.10355631129865905,-0.08251770685597926
2023-04-05,BTC,192.00588239070098,478,-0.06416475273469224,-0.07354407646025685
2023-04-25,BTC,177.86577639944903,478,-0.06430428569684565,-0.07354407646025685
2023-05-15,BTC,169.77428471966752,478,-0.06416475273469224,-0.07343246900850531
2023-06-04,BTC,113.78467463214011,478,-0.03662901609254199,-0.07343246900850531
2023-06-24,BTC,206.073059173766,478,-0.06416475273469224,-0.06653201115062224
2023-07-14,BTC,173.79536229699764,478,-0.06430428569684565,-0.065075635375619
2023-08-03,BTC,81.32396883615795,478,-0.0299866762450538,-0.06430428569684565
2023-08-23,BTC,167.5718713109851,478,-0.05308996143014788,-0.065075635375619
2023-09-12,BTC,161.90175292478517,478,-0.05308996143014788,-0.055476307179912254
2023-10-02,BTC,212.61114247871208,478,-0.0504908607980763,-0.05308996143014788
2023-10-22,BTC,171.50941571553815,478,-0.04340270072937358,-0.05003217561265316
2023-11-11,BTC,209.61184009163193,478,-0.0488934687459075,-0.05003217561265316
2023-12-01,BTC,199.06827782468443,478,-0.05185508646018633,-0.04926198068051768
2023-12-21,BTC,202.25629718340252,478,-0.04340270072937358,-0.0488934687459075
2024-01-10,BTC,174.21979283970862,478,-0.04189904012517687,-0.04541665067958256
2024-01-30,BTC,189.49277723293477,478,-0.0488934687459075,-0.0488934687459075
2024-02-19,BTC,232.5639602497068,478,-0.03662901609254199,-0.0488934687459075
2024-03-10,BTC,145.19652172672465,478,-0.048336636623448115,-0.048336636623448115
