period,asset,window,alpha,model,n,n_degenerate,fz0_mean,fz0_rank,is_best,dm_vs_best_stat,dm_vs_best_p,in_mcs,mcs_p,kupiec_p,chr_cc_p,dq_p,hit_rate,passes_all,z2,z2_p_approx,es_reject_approx,n_days
full_oos,PORTFOLIO,500,0.01,Direct-GJR-GARCH-t,1721,0,-2.214367732215647,1,True,,,True,0.6964,0.26590314671111026,0.3034715813120571,0.24513240307972636,0.012783265543288786,True,-0.2262407515064544,0.19681390842982377,False,1721
full_oos,PORTFOLIO,500,0.01,Direct-GARCH-t,1721,0,-2.193104361991116,2,False,-0.5166089707944418,0.6054955658854504,True,0.6964,0.18216598049239366,0.2470728111523127,0.29857233085824963,0.01336432306798373,True,-0.27563732946346864,0.15400490352900692,False,1721
full_oos,PORTFOLIO,500,0.01,Direct-FHS,1721,0,-2.1813041076559565,3,False,-0.9651705336279858,0.33459508344392924,True,0.6964,0.9593424553610431,0.3697238819445559,0.5716714854271685,0.009877977919814061,True,-0.02152322755413394,0.46586293203608103,False,1721
full_oos,PORTFOLIO,500,0.01,Copula-clayton,1721,0,-2.180805500865429,4,False,-0.9325841228255793,0.35116562182114675,True,0.6964,0.7667369791030452,0.31838337314175835,0.15120334405670519,0.009296920395119116,True,0.04030682260739471,0.5657953409682271,False,1721
full_oos,PORTFOLIO,500,0.01,Copula-student_t,1721,0,-2.169757041091582,5,False,-1.1783305475139974,0.23882784692869552,True,0.6964,0.509916853257165,0.3911534631015794,0.3051402012838462,0.011621150493898896,True,-0.2363668399212211,0.1994994934162686,False,1721
full_oos,PORTFOLIO,500,0.01,Copula-gaussian,1721,0,-2.163323952322711,6,False,-1.242671352083639,0.2141583483481426,True,0.6964,0.37477416331100377,0.3539986204827505,0.14872425894562222,0.01220220801859384,True,-0.3603730398330012,0.11553589533874065,False,1721
full_oos,PORTFOLIO,500,0.01,Direct-HS,1721,0,-2.0583281126368034,7,False,-4.1883444788829385,2.952269236713476e-05,False,0.0096,0.5840999796149492,0.7544297899341832,0.30829862094607213,0.008715862870424172,True,0.07621050626948822,0.6197980274342009,False,1721
full_oos,PORTFOLIO,500,0.01,Copula-independence,1721,0,-0.10993195866763991,8,False,-5.472985940561255,5.0770866621677306e-08,False,0.0,4.065098261461697e-53,4.419223093556101e-53,3.715001908651948e-120,0.06507844276583381,False,-7.414107210942531,6.070304005771172e-20,True,1721
full_oos,PORTFOLIO,500,0.025,Direct-GJR-GARCH-t,1721,0,-2.437815227084675,1,True,,,True,0.5764,0.36661113014643487,0.31533991553871193,0.29039233428151884,0.028471818710052294,True,-0.12256439075352143,0.22696983678951899,False,1721
full_oos,PORTFOLIO,500,0.025,Copula-clayton,1721,0,-2.42860001274538,2,False,-0.3840872695220399,0.7009612425401421,True,0.5764,0.9969199537839998,0.28800231325651393,0.4304080216948821,0.024985473561882625,True,0.020590626883739804,0.5535908297671569,False,1721
full_oos,PORTFOLIO,500,0.025,Direct-GARCH-t,1721,0,-2.4232113765748173,3,False,-0.6524608666973618,0.5141910965796653,True,0.5764,0.17944945222390257,0.2338104295485547,0.2830686210133676,0.03021499128413713,True,-0.18213925140225884,0.13854442389313526,False,1721
full_oos,PORTFOLIO,500,0.025,Copula-student_t,1721,0,-2.4092172414539244,4,False,-1.2352787105101484,0.21689549589580998,True,0.5764,0.07609619815010749,0.14034860495555815,0.1700197296671768,0.031958163858221963,True,-0.27776521189403836,0.05737246466591419,False,1721
full_oos,PORTFOLIO,500,0.025,Copula-gaussian,1721,0,-2.408304231372992,5,False,-1.2480493003746242,0.21218287409933026,True,0.5764,0.07609619815010749,0.14034860495555815,0.1604718443934223,0.031958163858221963,True,-0.3224878694442117,0.0383348123949639,True,1721
full_oos,PORTFOLIO,500,0.025,Direct-FHS,1721,0,-2.4046920016453646,6,False,-1.4481840679974562,0.14774783605653954,True,0.5764,0.7526926932007667,0.9513101515552732,0.3184943920715192,0.023823358512492735,True,0.020372336359543386,0.5521161622418157,False,1721
full_oos,PORTFOLIO,500,0.025,Direct-HS,1721,0,-2.355244061018093,7,False,-2.9654018283202346,0.003064509983244035,False,0.0244,0.20060156952386446,0.049641030451590594,0.000632301621352694,0.02033701336432307,False,0.14435432988735142,0.8295423397541342,False,1721
full_oos,PORTFOLIO,500,0.025,Copula-independence,1721,0,-1.2957996206834317,8,False,-5.726805393016934,1.2054223048334157e-08,False,0.0,1.0289587535185228e-51,2.73076169480104e-51,1.0068711566108258e-88,0.0999418942475305,False,-4.23697444460087,3.3791837884369985e-25,True,1721
luna,PORTFOLIO,500,0.01,Direct-HS,57,0,-1.6265188310634187,1,True,,,True,0.1806,0.02245005583598286,0.06233801017842174,4.955135826992611e-22,0.05263157894736842,False,-3.2175592878456367,0.08944190673391794,False,57
luna,PORTFOLIO,500,0.01,Direct-FHS,57,0,-1.5652949472369293,2,False,-0.4500429055127796,0.6544168876126718,True,0.1806,0.138224701404613,0.30946906458888995,0.11792972644469307,0.03508771929824561,True,-1.688556820823075,0.18535297813732038,False,57
luna,PORTFOLIO,500,0.01,Direct-GJR-GARCH-t,57,0,-1.280990383007695,3,False,-1.0224096927608404,0.31098359892768873,True,0.1806,0.02245005583598286,0.06233801017842174,2.8243679167209156e-08,0.05263157894736842,False,-3.7575549305975997,0.08257658117511174,False,57
luna,PORTFOLIO,500,0.01,Copula-clayton,57,0,-1.2569319163273442,4,False,-1.1369246214506803,0.26041140995036033,True,0.1806,0.02245005583598286,0.06233801017842174,3.2025174323038783e-10,0.05263157894736842,False,-3.5157819730947786,0.08583711143525335,False,57
luna,PORTFOLIO,500,0.01,Direct-GARCH-t,57,0,-1.1352403181338873,5,False,-1.1754108503511083,0.2448037221751418,True,0.1806,0.02245005583598286,0.06233801017842174,2.0795738904069988e-08,0.05263157894736842,False,-3.924259727400181,0.08060591045004428,False,57
luna,PORTFOLIO,500,0.01,Copula-gaussian,57,0,-0.8497059984334202,6,False,-1.2624129459536915,0.21203223690771017,True,0.1806,0.02245005583598286,0.06233801017842174,8.16335338809645e-10,0.05263157894736842,False,-4.388159084752147,0.07652144565382778,False,57
luna,PORTFOLIO,500,0.01,Copula-student_t,57,0,-0.844904934443832,7,False,-1.2767935224845324,0.20694428711904464,True,0.1806,0.02245005583598286,0.06233801017842174,2.4970755726956055e-10,0.05263157894736842,False,-4.035100619187593,0.07985705814228217,False,57
luna,PORTFOLIO,500,0.01,Copula-independence,57,0,5.426443658083251,8,False,-2.036276842541821,0.046462299686684,False,0.0068,2.4056536582250917e-10,1.8291461529356611e-09,1.3658827883771095e-40,0.17543859649122806,False,-20.70199454285299,0.0009953163270298613,True,57
luna,PORTFOLIO,500,0.025,Direct-FHS,57,0,-1.4440118914477609,1,True,,,True,0.2566,0.2432419984522285,0.4270922600292745,0.008657065521776225,0.05263157894736842,False,-1.1701454677512348,0.17170577234702572,False,57
luna,PORTFOLIO,500,0.025,Direct-GJR-GARCH-t,57,0,-1.416774623437776,2,False,-0.41073500079625386,0.6828342977837648,True,0.2566,0.0723812441433351,0.14630164776885854,0.0007256134268067554,0.07017543859649122,False,-1.9112320014624467,0.09219045284781974,False,57
luna,PORTFOLIO,500,0.025,Direct-GARCH-t,57,0,-1.3211856490065905,3,False,-1.0110001241701565,0.3163648447942168,True,0.2566,0.0723812441433351,0.14630164776885854,0.0006252489822795797,0.07017543859649122,False,-2.0307692619043465,0.08731775869429931,False,57
luna,PORTFOLIO,500,0.025,Copula-clayton,57,0,-1.3095124196482657,4,False,-1.1554820369564969,0.2527994524067262,True,0.2566,0.0723812441433351,0.14630164776885854,7.972284309394182e-05,0.07017543859649122,False,-1.8677519191771972,0.09490426153083092,False,57
luna,PORTFOLIO,500,0.025,Direct-HS,57,0,-1.2516499492146518,5,False,-1.143730244737148,0.257601148661592,True,0.2566,0.0723812441433351,0.14630164776885854,6.553976889821782e-07,0.07017543859649122,False,-1.8351229804555302,0.09279198156247526,False,57
luna,PORTFOLIO,500,0.025,Copula-student_t,57,0,-1.0994360824445322,6,False,-1.3196562976735513,0.19231953947577915,True,0.2566,0.0035740748511397928,0.007911198986588595,2.6227223145408016e-05,0.10526315789473684,False,-3.1651153558856127,0.030143346031138513,True,57
luna,PORTFOLIO,500,0.025,Copula-gaussian,57,0,-1.0979510610286283,7,False,-1.294985557419984,0.20063890897340458,True,0.2566,0.0175779726955883,0.040448922487966804,4.931009382432045e-07,0.08771929824561403,False,-2.777580601854255,0.04892966319172325,True,57
luna,PORTFOLIO,500,0.025,Copula-independence,57,0,2.564461782288936,8,False,-2.3350844460882287,0.02314834292338695,False,0.0014,1.518676996138237e-07,7.061649970012825e-07,1.1505335032455433e-21,0.19298245614035087,False,-10.323698840678782,0.0009792261710510005,True,57
ftx,PORTFOLIO,500,0.01,Direct-FHS,61,0,-1.1253000453171524,1,True,,,True,0.1034,0.15709014590043704,0.03573494996106869,2.52274630479487e-15,0.03278688524590164,False,-2.9796820406955,0.1484410821822807,False,61
ftx,PORTFOLIO,500,0.01,Direct-GJR-GARCH-t,61,0,-0.906999122187599,2,False,-0.8137005201185552,0.41903406062006693,True,0.1034,0.027275111071699488,0.022966349977677027,4.3749648579989834e-08,0.04918032786885246,False,-4.271784518227579,0.08228800154985383,False,61
ftx,PORTFOLIO,500,0.01,Copula-clayton,61,0,-0.7347496867420542,3,False,-1.5202133631012422,0.13370998669966727,True,0.1034,0.15709014590043704,0.03573494996106869,3.0845144248404175e-15,0.03278688524590164,False,-2.987671389153918,0.15178032947854148,False,61
ftx,PORTFOLIO,500,0.01,Copula-student_t,61,0,-0.5165086794051851,4,False,-1.1577976603758517,0.25153476265098307,True,0.1034,0.15709014590043704,0.03573494996106869,3.2180206742578515e-15,0.03278688524590164,False,-3.2722183857190332,0.14658750520938685,False,61
ftx,PORTFOLIO,500,0.01,Copula-gaussian,61,0,-0.4321535501299608,5,False,-1.1085241153086831,0.27205929481833857,True,0.1034,0.15709014590043704,0.03573494996106869,3.264942683157105e-15,0.03278688524590164,False,-3.461039380995154,0.143433280074385,False,61
ftx,PORTFOLIO,500,0.01,Direct-GARCH-t,61,0,-0.3256577809054001,6,False,-1.0469468727363094,0.29932341568476606,True,0.1034,0.027275111071699488,0.022966349977677027,4.554001578864202e-08,0.04918032786885246,False,-4.758673805442352,0.08418910509096267,False,61
ftx,PORTFOLIO,500,0.01,Direct-HS,61,0,-0.18075796831026886,7,False,-1.300382219492939,0.19844287091053373,True,0.1034,0.6458935412172792,0.8846985441363054,0.00459325525705222,0.01639344262295082,False,-2.238074341923909,0.24472795039557305,False,61
ftx,PORTFOLIO,500,0.01,Copula-independence,61,0,4.185213724524452,8,False,-1.2128453549869238,0.22994261972798838,True,0.1034,0.027275111071699488,0.022966349977677027,5.627753906708586e-08,0.04918032786885246,False,-10.18901519946183,0.06404905396125855,False,61
ftx,PORTFOLIO,500,0.025,Direct-FHS,61,0,-1.4657954218282718,1,True,,,True,0.1898,0.2842632861595991,0.14802614480086185,0.008771157970144671,0.04918032786885246,False,-1.4734048182858985,0.15560649914614405,False,61
ftx,PORTFOLIO,500,0.025,Direct-GJR-GARCH-t,61,0,-1.4344334467399442,2,False,-0.3101153517876053,0.7575478559379287,True,0.1898,0.2842632861595991,0.14802614480086185,0.015354864824472732,0.04918032786885246,False,-1.5679687075283,0.1472096660645854,False,61
ftx,PORTFOLIO,500,0.025,Copula-clayton,61,0,-1.3096334280246675,3,False,-1.3052294116591463,0.1967980607491642,True,0.1898,0.2842632861595991,0.14802614480086185,0.016608370213599434,0.04918032786885246,False,-1.5169051980282253,0.1584670854236923,False,61
ftx,PORTFOLIO,500,0.025,Copula-student_t,61,0,-1.1964989805009802,4,False,-1.1484049748304717,0.25535936108674506,True,0.1898,0.2842632861595991,0.14802614480086185,0.015280792752387442,0.04918032786885246,False,-1.6802270716231038,0.1491367954508242,False,61
ftx,PORTFOLIO,500,0.025,Copula-gaussian,61,0,-1.1806237304681377,5,False,-1.1258507714903225,0.26471189969169906,True,0.1898,0.2842632861595991,0.14802614480086185,0.015445127138756926,0.04918032786885246,False,-1.7454111750074475,0.14577309079323386,False,61
ftx,PORTFOLIO,500,0.025,Direct-GARCH-t,61,0,-1.128915938830353,6,False,-0.9735211384777811,0.3342029525334468,True,0.1898,0.2842632861595991,0.14802614480086185,0.01583570424224093,0.04918032786885246,False,-1.8460923733621413,0.13944198136975305,False,61
ftx,PORTFOLIO,500,0.025,Direct-HS,61,0,-1.0294007409023251,7,False,-1.0070177770326993,0.3179702333892506,True,0.1898,0.2842632861595991,0.14802614480086185,1.7647649494207954e-05,0.04918032786885246,False,-1.771254319930477,0.1600528570182792,False,61
ftx,PORTFOLIO,500,0.025,Copula-independence,61,0,0.7278849641173415,8,False,-1.1140490462235944,0.2697010531412874,True,0.1898,0.005131039521975411,0.017263009293304852,0.0002313383616173616,0.09836065573770492,False,-5.947104190996953,0.0323288165042998,True,61
calm_23,PORTFOLIO,500,0.01,Direct-GARCH-t,92,0,-2.6166594215743038,1,True,,,True,0.5348,,,,0.0,True,1.0,,False,92
calm_23,PORTFOLIO,500,0.01,Copula-independence,92,0,-2.602976815247884,2,False,-0.023148201817045244,0.981582740014714,True,0.5348,0.3274459161576896,0.5918903950211923,0.8952324005907379,0.021739130434782608,True,-1.4371109156876365,0.2075118741572045,False,92
calm_23,PORTFOLIO,500,0.01,Direct-GJR-GARCH-t,92,0,-2.5904929644338126,3,False,-2.3897455498152533,0.018922632132661835,True,0.5348,,,,0.0,True,1.0,,False,92
calm_23,PORTFOLIO,500,0.01,Copula-gaussian,92,0,-2.5689498446493952,4,False,-5.489704321402585,3.609950541027821e-07,True,0.5348,,,,0.0,True,1.0,,False,92
calm_23,PORTFOLIO,500,0.01,Copula-student_t,92,0,-2.538501397910391,5,False,-8.999458820038255,3.166790242933433e-14,True,0.5348,,,,0.0,True,1.0,,False,92
calm_23,PORTFOLIO,500,0.01,Copula-clayton,92,0,-2.4674506505796936,6,False,-22.073695077511136,2.616555212432924e-38,True,0.5348,,,,0.0,True,1.0,,False,92
calm_23,PORTFOLIO,500,0.01,Direct-FHS,92,0,-2.4372483960180444,7,False,-17.690547467698313,3.3382086997436224e-31,False,0.0486,,,,0.0,True,1.0,,False,92
calm_23,PORTFOLIO,500,0.01,Direct-HS,92,0,-2.050960032532257,8,False,-22.642910685621455,3.67158816567284e-39,False,0.0,,,,0.0,True,1.0,,False,92
calm_23,PORTFOLIO,500,0.025,Copula-independence,92,0,-2.9245620326571746,1,True,,,True,0.2166,0.3033279051455114,0.489815816429959,0.7024656738591087,0.043478260869565216,True,-0.8874943189664923,0.18155159514532376,False,92
calm_23,PORTFOLIO,500,0.025,Direct-GJR-GARCH-t,92,0,-2.8203114661283446,2,False,-0.3194070504013221,0.7501499568622386,True,0.2166,0.3289741106872202,0.61411238817679,0.9946293877008479,0.010869565217391304,True,0.6416838697551207,0.963339843352676,False,92
calm_23,PORTFOLIO,500,0.025,Direct-GARCH-t,92,0,-2.818301706872959,3,False,-0.35591633050729576,0.7227270041041761,True,0.2166,0.3289741106872202,0.61411238817679,0.9925897357029798,0.010869565217391304,True,0.6095537414517426,0.9407584056862152,False,92
calm_23,PORTFOLIO,500,0.025,Copula-gaussian,92,0,-2.7647381487545934,4,False,-0.511236381124924,0.6104237531029392,True,0.2166,0.3289741106872202,0.61411238817679,0.9903414309265063,0.010869565217391304,True,0.5982998804379751,0.9318114953085734,False,92
calm_23,PORTFOLIO,500,0.025,Copula-student_t,92,0,-2.7556157866579802,5,False,-0.5336086181623633,0.5949133438967817,True,0.2166,0.3289741106872202,0.61411238817679,0.9904399191982708,0.010869565217391304,True,0.6122359166091236,0.94281908367474,False,92
calm_23,PORTFOLIO,500,0.025,Direct-FHS,92,0,-2.7201080488836467,6,False,-0.543163956915171,0.5883449514648181,True,0.2166,,,,0.0,True,1.0,,False,92
calm_23,PORTFOLIO,500,0.025,Copula-clayton,92,0,-2.7188729969795404,7,False,-0.6182698626399622,0.5379418772110153,True,0.2166,0.3289741106872202,0.61411238817679,0.989197370417414,0.010869565217391304,True,0.6311776641310438,0.9564901284888884,False,92
calm_23,PORTFOLIO,500,0.025,Direct-HS,92,0,-2.4654439661937473,8,False,-1.1968472912187078,0.23447480185709915,False,0.0014,,,,0.0,True,1.0,,False,92
