"asset","regime","alpha0","alpha1","beta","nu","stat_vol","p_stay","filt_vol_end"
"BTC","normal",1.00867265088913e-07,0.0562632093169621,0.909176538567661,2.7856549474984,0.00170838862772187,0.568321276838918,0.0242529006904689
"BTC","crisis",2.47242023572374e-05,0.0548203781876723,0.943668648680514,5.12709260398004,0.127918327900493,0.665339673003388,0.0242529006904689
"ETH","normal",6.62585853450693e-07,0.183720846917427,0.775865371645715,3.40545793624926,0.00404907979444239,0.562755885281446,0.0276743491975905
"ETH","crisis",3.91058104742802e-06,0.00792629845110217,0.991544382677974,6.69348845270474,0.0859531815802492,0.510218482170701,0.0276743491975905
