date,asset,lag,feature,importance
2019-07-15,BTC,14,squared down-return,0.0001773834228515625
2019-07-15,BTC,15,return,0.001232306162516276
2019-07-15,BTC,15,squared return,-3.743171691894531e-05
2019-07-15,BTC,15,squared down-return,3.5365422566731766e-05
2019-07-15,BTC,16,return,-0.000583966573079427
2019-07-15,BTC,16,squared return,-4.124641418457031e-05
2019-07-15,BTC,16,squared down-return,2.2331873575846352e-05
2019-07-15,BTC,17,return,9.942054748535154e-05
2019-07-15,BTC,17,squared return,1.1046727498372398e-05
2019-07-15,BTC,17,squared down-return,7.565816243489584e-05
2019-07-15,BTC,18,return,-0.0005747477213541667
2019-07-15,BTC,18,squared return,-0.00017031033833821613
2019-07-15,BTC,18,squared down-return,0.0001300175984700521
2019-07-15,BTC,19,return,0.00045259793599446613
2019-07-15,BTC,19,squared return,-0.000200351079305013
2019-07-15,BTC,19,squared down-return,1.509984334309896e-05
2019-07-15,BTC,20,return,-0.00017285346984863287
2019-07-15,BTC,20,squared return,-3.870328267415365e-05
2019-07-15,BTC,20,squared down-return,-9.059906005859375e-06
2019-09-13,BTC,1,return,0.0001601378122965495
2019-09-13,BTC,1,squared return,7.065137227376302e-05
2019-09-13,BTC,1,squared down-return,3.568331400553386e-05
2019-09-13,BTC,2,return,0.00019971529642740885
2019-09-13,BTC,2,squared return,0.00011809666951497397
2019-09-13,BTC,2,squared down-return,5.968411763509115e-05
2019-09-13,BTC,3,return,8.591016133626303e-05
2019-09-13,BTC,3,squared return,3.258387247721354e-05
2019-09-13,BTC,3,squared down-return,3.536542256673177e-05
2019-09-13,BTC,4,return,-0.0003568331400553385
2019-09-13,BTC,4,squared return,5.9604644775390625e-05
2019-09-13,BTC,4,squared down-return,2.8928120930989586e-05
2019-09-13,BTC,5,return,-2.7577082316080734e-05
2019-09-13,BTC,5,squared return,8.789698282877605e-05
2019-09-13,BTC,5,squared down-return,2.9802322387695312e-05
2019-09-13,BTC,6,return,8.455912272135416e-05
2019-09-13,BTC,6,squared return,8.312861124674478e-05
2019-09-13,BTC,6,squared down-return,5.205472310384115e-05
2019-09-13,BTC,7,return,-0.00019542376200358075
2019-09-13,BTC,7,squared return,3.075599670410156e-05
2019-09-13,BTC,7,squared down-return,4.069010416666667e-05
2019-09-13,BTC,8,return,0.0007565816243489583
2019-09-13,BTC,8,squared return,8.686383565266927e-05
2019-09-13,BTC,8,squared down-return,6.5962473551432294e-06
2019-09-13,BTC,9,return,0.0003157456715901693
2019-09-13,BTC,9,squared return,7.5499216715494794e-06
2019-09-13,BTC,9,squared down-return,-2.4000803629557293e-05
2019-09-13,BTC,10,return,4.585584004720053e-05
2019-09-13,BTC,10,squared return,-1.2159347534179691e-05
2019-09-13,BTC,10,squared down-return,1.613299051920573e-05
2019-09-13,BTC,11,return,-0.000152587890625
2019-09-13,BTC,11,squared return,-5.9604644775390625e-06
2019-09-13,BTC,11,squared down-return,6.119410196940104e-06
2019-09-13,BTC,12,return,0.00010848045349121094
2019-09-13,BTC,12,squared return,-5.483627319335938e-06
2019-09-13,BTC,12,squared down-return,1.056989034016927e-05
2019-09-13,BTC,13,return,0.0005373160044352213
2019-09-13,BTC,13,squared return,-1.1444091796875e-05
2019-09-13,BTC,13,squared down-return,-7.788340250651041e-06
2019-09-13,BTC,14,return,-0.00015624364217122394
2019-09-13,BTC,14,squared return,8.821487426757814e-06
2019-09-13,BTC,14,squared down-return,1.6848246256510414e-05
2019-09-13,BTC,15,return,0.00031399726867675776
2019-09-13,BTC,15,squared return,1.9629796346028648e-05
2019-09-13,BTC,15,squared down-return,-4.450480143229167e-06
2019-09-13,BTC,16,return,6.230672200520833e-05
2019-09-13,BTC,16,squared return,2.9166539510091148e-05
2019-09-13,BTC,16,squared down-return,3.496805826822917e-06
2019-09-13,BTC,17,return,-3.5842259724934905e-05
2019-09-13,BTC,17,squared return,2.6067097981770832e-05
2019-09-13,BTC,17,squared down-return,5.9604644775390625e-06
2019-09-13,BTC,18,return,-0.00012787183125813803
2019-09-13,BTC,18,squared return,3.3855438232421875e-05
2019-09-13,BTC,18,squared down-return,1.7484029134114582e-05
2019-09-13,BTC,19,return,-0.00025963783264160156
2019-09-13,BTC,19,squared return,8.900960286458334e-06
2019-09-13,BTC,19,squared down-return,2.8053919474283852e-05
2019-09-13,BTC,20,return,0.00030684471130371094
2019-09-13,BTC,20,squared return,3.735224405924479e-06
2019-09-13,BTC,20,squared down-return,-6.4373016357421875e-06
2019-11-12,BTC,1,return,0.00015012423197428385
2019-11-12,BTC,1,squared return,6.119410196940105e-05
2019-11-12,BTC,1,squared down-return,1.1046727498372396e-05
2019-11-12,BTC,2,return,-5.3246815999348954e-05
2019-11-12,BTC,2,squared return,6.389617919921875e-05
2019-11-12,BTC,2,squared down-return,1.2318293253580729e-05
2019-11-12,BTC,3,return,-2.7815500895182303e-06
2019-11-12,BTC,3,squared return,1.629193623860677e-05
2019-11-12,BTC,3,squared down-return,9.934107462565105e-06
2019-11-12,BTC,4,return,-6.079673767089844e-05
2019-11-12,BTC,4,squared return,2.7179718017578125e-05
2019-11-12,BTC,4,squared down-return,1.3271967569986977e-05
2019-11-12,BTC,5,return,1.056989034016927e-05
2019-11-12,BTC,5,squared return,2.2649765014648438e-05
2019-11-12,BTC,5,squared down-return,9.298324584960938e-06
2019-11-12,BTC,6,return,2.749760945638021e-05
2019-11-12,BTC,6,squared return,1.3987223307291668e-05
2019-11-12,BTC,6,squared down-return,8.424123128255209e-06
2019-11-12,BTC,7,return,-4.529953002929687e-06
2019-11-12,BTC,7,squared return,1.152356465657552e-05
2019-11-12,BTC,7,squared down-return,3.0994415283203125e-06
2019-11-12,BTC,8,return,7.724761962890625e-05
2019-11-12,BTC,8,squared return,5.404154459635417e-06
2019-11-12,BTC,8,squared down-return,2.3841857910156245e-07
2019-11-12,BTC,9,return,2.066294352213542e-06
2019-11-12,BTC,9,squared return,8.742014567057292e-07
2019-11-12,BTC,9,squared down-return,6.357828776041666e-07
2019-11-12,BTC,10,return,1.533826192220052e-05
2019-11-12,BTC,10,squared return,1.748402913411458e-06
2019-11-12,BTC,10,squared down-return,-2.384185791015625e-07
2019-11-12,BTC,11,return,-2.145767211914062e-06
2019-11-12,BTC,11,squared return,8.742014567057291e-07
2019-11-12,BTC,11,squared down-return,6.357828776041667e-07
2019-11-12,BTC,12,return,-7.152557373046875e-06
2019-11-12,BTC,12,squared return,-8.742014567057291e-07
2019-11-12,BTC,12,squared down-return,3.973642985026042e-07
2019-11-12,BTC,13,return,1.8199284871419273e-05
2019-11-12,BTC,13,squared return,1.7484029134114585e-06
2019-11-12,BTC,13,squared down-return,-6.357828776041666e-07
2019-11-12,BTC,14,return,-5.0067901611328125e-06
2019-11-12,BTC,14,squared return,7.947285970052087e-08
2019-11-12,BTC,14,squared down-return,9.5367431640625e-07
2019-11-12,BTC,15,return,4.371007283528646e-06
2019-11-12,BTC,15,squared return,-7.947285970052087e-08
2019-11-12,BTC,15,squared down-return,0.0
2019-11-12,BTC,16,return,2.384185791015623e-07
2019-11-12,BTC,16,squared return,2.384185791015625e-07
2019-11-12,BTC,16,squared down-return,4.7683715820312495e-07
2019-11-12,BTC,17,return,-5.563100179036459e-07
2019-11-12,BTC,17,squared return,3.178914388020833e-07
2019-11-12,BTC,17,squared down-return,0.0
2019-11-12,BTC,18,return,6.357828776041666e-07
2019-11-12,BTC,18,squared return,3.9736429850260413e-07
2019-11-12,BTC,18,squared down-return,0.0
2019-11-12,BTC,19,return,-1.1920928955078125e-06
2019-11-12,BTC,19,squared return,1.5894571940104166e-07
2019-11-12,BTC,19,squared down-return,2.384185791015625e-07
2019-11-12,BTC,20,return,3.0199686686197915e-06
2019-11-12,BTC,20,squared return,-2.384185791015625e-07
2019-11-12,BTC,20,squared down-return,-1.5894571940104166e-07
2020-01-11,BTC,1,return,-4.76837158203125e-07
2020-01-11,BTC,1,squared return,9.34600830078125e-05
2020-01-11,BTC,1,squared down-return,1.9550323486328125e-05
2020-01-11,BTC,2,return,0.0004517237345377605
2020-01-11,BTC,2,squared return,0.00024708112080891925
2020-01-11,BTC,2,squared down-return,0.00011801719665527344
2020-01-11,BTC,3,return,6.039937337239587e-06
2020-01-11,BTC,3,squared return,0.00011960665384928385
2020-01-11,BTC,3,squared down-return,6.715456644694011e-05
2020-01-11,BTC,4,return,-5.841255187988281e-05
2020-01-11,BTC,4,squared return,5.300839742024739e-05
2020-01-11,BTC,4,squared down-return,6.890296936035156e-05
2020-01-11,BTC,5,return,-5.435943603515626e-05
2020-01-11,BTC,5,squared return,5.1180521647135414e-05
2020-01-11,BTC,5,squared down-return,3.0438105265299477e-05
2020-01-11,BTC,6,return,0.00018588701883951825
2020-01-11,BTC,6,squared return,-1.915295918782552e-05
2020-01-11,BTC,6,squared down-return,-6.278355916341146e-06
2020-01-11,BTC,7,return,-8.265177408854171e-06
2020-01-11,BTC,7,squared return,-5.1975250244140625e-05
2020-01-11,BTC,7,squared down-return,-8.58306884765625e-06
2020-01-11,BTC,8,return,0.00047667821248372394
2020-01-11,BTC,8,squared return,-9.314219156901042e-05
2020-01-11,BTC,8,squared down-return,-1.0172526041666668e-05
2020-01-11,BTC,9,return,-0.00014011065165201825
2020-01-11,BTC,9,squared return,-6.612141927083333e-05
2020-01-11,BTC,9,squared down-return,-2.368291219075521e-05
2020-01-11,BTC,10,return,-5.626678466796875e-05
2020-01-11,BTC,10,squared return,-5.6187311808268234e-05
2020-01-11,BTC,10,squared down-return,1.3589859008789062e-05
2020-01-11,BTC,11,return,1.1682510375976562e-05
2020-01-11,BTC,11,squared return,-5.578994750976562e-05
2020-01-11,BTC,11,squared down-return,-2.1537144978841145e-05
2020-01-11,BTC,12,return,-5.125999450683594e-05
2020-01-11,BTC,12,squared return,-6.278355916341146e-06
