asset,alpha,base_model,variant,n,hit_rate,kupiec_p,chr_cc_p,dq_p,fz0_mean,mean_var,mean_es,dm_fz0_diff,dm_p
BTC,0.01,GARCH-t,raw,2674,0.011219147344801795,0.5342905049423325,0.5307826385815348,0.013207816443553016,-2.1088673174734773,-0.08757881921183652,-0.1339882466327376,,
BTC,0.01,GARCH-t,ACI,2674,0.010471204188481676,0.8079872817814961,0.566851923138497,0.005142003846411662,-2.093171547571531,-0.09226385819542322,-0.14095697315732145,0.015695769901946557,0.13963956500400984
BTC,0.01,HS,raw,2674,0.009723261032161555,0.8851143008388389,0.7665724207061286,0.9591311237147454,-2.1161066246666245,-0.09048912661240421,-0.12181873879448363,,
BTC,0.01,HS,ACI,2674,0.010097232610321616,0.9597619920563759,0.7582154486242972,0.9171523426113786,-2.1156804675971914,-0.08953524925044112,-0.1195198255723024,0.00042615706943265703,0.9283031450495748
BTC,0.01,LSTM-Vol,raw,2674,0.013089005235602094,0.1253695121399661,0.24132615288589743,0.4346289461737608,-2.132682323048667,-0.08490225255766458,-0.1258290439604748,,
BTC,0.01,LSTM-Vol,ACI,2674,0.010845175766641735,0.6647750183118334,0.5590717302564151,0.4208855722103462,-2.1243940379219164,-0.09100999263644037,-0.13436071859345763,0.008288285126750195,0.50641408140943
BTC,0.01,RF-QR,raw,2674,0.010097232610321616,0.9597619920563759,0.5524702758676518,0.34911611536110865,-2.114206530887238,-0.08691518628154651,-0.10752657094395832,,
BTC,0.01,RF-QR,ACI,2674,0.010097232610321616,0.9597619920563759,0.5524702758676518,0.3005978770797866,-2.1125885299327765,-0.0862882009524014,-0.1069130556823081,0.0016180009544620865,0.7900730182303626
BTC,0.025,GARCH-t,raw,2674,0.02617801047120419,0.6985747298913982,0.9205658516949435,0.5622185985870358,-2.404518311441382,-0.061779416648346304,-0.09692408614552234,,
BTC,0.025,GARCH-t,ACI,2674,0.025430067314884067,0.8870412001531789,0.9692097280268827,0.45118717200158154,-2.396908291981938,-0.06396953380474257,-0.09994286568094342,0.007610019459443933,0.2713731210595828
BTC,0.025,HS,raw,2674,0.02318623784592371,0.5431575750809137,0.768871921807864,0.05774716768427019,-2.3986454476812162,-0.06670069446903713,-0.09395217293467606,,
BTC,0.025,HS,ACI,2674,0.02393418100224383,0.722213040981811,0.8765340906250586,0.19921843792382402,-2.396417372053513,-0.0663884519784953,-0.09300152404720158,0.0022280756277030856,0.7330824741717896
BTC,0.025,LSTM-Vol,raw,2674,0.029543754674644727,0.14329952682024544,0.19804052349244386,0.007530080714331906,-2.394908013211661,-0.06090798094261955,-0.09272718997893216,,
BTC,0.025,LSTM-Vol,ACI,2674,0.025430067314884067,0.8870412001531789,0.8278601814672437,0.021682472346325,-2.3898395824245724,-0.06596498341522948,-0.09956775796897226,0.005068430787088945,0.6361800985546374
BTC,0.025,RF-QR,raw,2674,0.02617801047120419,0.6985747298913982,0.9205658516949435,0.22626229172802567,-2.4014466225668554,-0.06493098562862867,-0.08694833506726615,,
BTC,0.025,RF-QR,ACI,2674,0.02505609573672401,0.9851818082710501,0.9698704932373855,0.16921509318240394,-2.394442401862254,-0.06613558995714806,-0.08776781273318751,0.007004220704601164,0.10183042833781432
ETH,0.01,GARCH-t,raw,2674,0.009723261032161555,0.8851143008388389,0.5168000059266424,0.3406739976550862,-1.902013737457096,-0.11369061482897772,-0.16845913668551962,,
ETH,0.01,GARCH-t,ACI,2674,0.009349289454001496,0.7324146241542722,0.46322567329343156,0.2756473069204836,-1.8973503523965463,-0.11344965503385014,-0.1680419467730893,0.004663385060549599,0.16282107024347114
ETH,0.01,HS,raw,2674,0.011593118922961856,0.41935925347190883,0.10994316055650781,4.923798796966979e-05,-1.763369484736819,-0.1268864053747181,-0.16604534429750026,,
ETH,0.01,HS,ACI,2674,0.011967090501121914,0.32139048173795615,0.10386829188665764,1.6083954644819569e-06,-1.7634511921833238,-0.12759688979003733,-0.16596888975386934,-8.17074465046567e-05,0.993774894883676
ETH,0.01,LSTM-Vol,raw,2674,0.014584891548242334,0.025728840158166316,0.005507217266768255,6.009265580298099e-07,-1.838628879534086,-0.10772267097443303,-0.15510426291347082,,
ETH,0.01,LSTM-Vol,ACI,2674,0.011593118922961856,0.41935925347190883,0.10994316055650781,0.0007188940624825185,-1.8374023870855771,-0.11277394511205097,-0.16178690642105178,0.0012264924485084476,0.919635426390005
ETH,0.01,RF-QR,raw,2674,0.012715033657442034,0.17571172471584412,0.30204395655495647,0.06251204139136377,-1.7830873029964591,-0.12049656301555643,-0.14590682945079755,,
ETH,0.01,RF-QR,ACI,2674,0.011593118922961856,0.41935925347190883,0.48572178483997364,0.060052779423385313,-1.786703959655775,-0.12599226831038235,-0.15002212564878772,-0.0036166566593160364,0.7969753592673676
ETH,0.025,GARCH-t,raw,2674,0.02804786836200449,0.3219458464664324,0.13000040246144473,0.0019251096217147029,-2.157205134644639,-0.08162433266909751,-0.12418390032575484,,
ETH,0.025,GARCH-t,ACI,2674,0.02580403889304413,0.791058536512995,0.6684210265981803,0.03429070236860366,-2.146663289942049,-0.08450290068789335,-0.12811183800795353,0.010541844702590184,0.07571694936831964
ETH,0.025,HS,raw,2674,0.025430067314884067,0.8870412001531789,0.030591716002672062,2.793055514493483e-06,-2.068356401658773,-0.08786902886113314,-0.127066484408775,,
ETH,0.025,HS,ACI,2674,0.02505609573672401,0.9851818082710501,0.02690292735167051,1.1037356367454907e-07,-2.0610348009242516,-0.08861227402533697,-0.1270392262614599,0.007321600734521298,0.29503464993738054
ETH,0.025,LSTM-Vol,raw,2674,0.031039640987284966,0.053736270129479145,0.0027963691281808526,1.1130025213741547e-10,-2.0977368613996514,-0.07867192568048348,-0.11636723232511599,,
ETH,0.025,LSTM-Vol,ACI,2674,0.02692595362752431,0.528583941490677,0.13388074613803372,1.4996913297656933e-05,-2.1010274679487946,-0.08440993639677996,-0.12374518371657076,-0.003290606549142987,0.8066980148822519
ETH,0.025,RF-QR,raw,2674,0.02804786836200449,0.3219458464664324,0.296879684910241,9.024457655833689e-05,-2.1119382736015666,-0.08635989392899322,-0.11745265763457037,,
ETH,0.025,RF-QR,ACI,2674,0.02617801047120419,0.6985747298913982,0.6661646146123712,0.00010078330907365134,-2.100885874930459,-0.09047099841946207,-0.12092644763713221,0.011052398671107829,0.19841063059583297
