date,asset,alpha,level,model
2020-01-03,BTC,0.01,0.009659999999999952,HS+ACI
2020-01-06,BTC,0.025,0.026093750000000002,HS+ACI
2020-01-08,BTC,0.01,0.00968499999999995,HS+ACI
2020-01-11,BTC,0.025,0.026250000000000002,HS+ACI
2020-01-13,BTC,0.01,0.00970999999999995,HS+ACI
2020-01-16,BTC,0.025,0.026406250000000003,HS+ACI
2020-01-18,BTC,0.01,0.009734999999999949,HS+ACI
2020-01-21,BTC,0.025,0.026562500000000003,HS+ACI
2020-01-23,BTC,0.01,0.009759999999999948,HS+ACI
2020-01-26,BTC,0.025,0.026718750000000003,HS+ACI
2020-01-28,BTC,0.01,0.009784999999999947,HS+ACI
2020-01-31,BTC,0.025,0.026875000000000003,HS+ACI
2020-02-02,BTC,0.01,0.009809999999999945,HS+ACI
2020-02-05,BTC,0.025,0.027031250000000003,HS+ACI
2020-02-07,BTC,0.01,0.009834999999999944,HS+ACI
2020-02-10,BTC,0.025,0.027187500000000003,HS+ACI
2020-02-12,BTC,0.01,0.009859999999999943,HS+ACI
2020-02-15,BTC,0.025,0.027343750000000003,HS+ACI
2020-02-17,BTC,0.01,0.009884999999999942,HS+ACI
2020-02-20,BTC,0.025,0.027500000000000004,HS+ACI
2020-02-22,BTC,0.01,0.009909999999999941,HS+ACI
2020-02-25,BTC,0.025,0.027656250000000004,HS+ACI
2020-02-27,BTC,0.01,0.00993499999999994,HS+ACI
2020-03-01,BTC,0.025,0.027812500000000004,HS+ACI
2020-03-03,BTC,0.01,0.00995999999999994,HS+ACI
2020-03-06,BTC,0.025,0.027968750000000004,HS+ACI
2020-03-08,BTC,0.01,0.009984999999999938,HS+ACI
2020-03-11,BTC,0.025,0.026875000000000003,HS+ACI
2020-03-13,BTC,0.01,0.009509999999999937,HS+ACI
2020-03-16,BTC,0.025,0.025781250000000002,HS+ACI
2020-03-18,BTC,0.01,0.009534999999999936,HS+ACI
2020-03-21,BTC,0.025,0.025937500000000002,HS+ACI
2020-03-23,BTC,0.01,0.009559999999999935,HS+ACI
2020-03-26,BTC,0.025,0.026093750000000002,HS+ACI
2020-03-28,BTC,0.01,0.009584999999999934,HS+ACI
2020-03-31,BTC,0.025,0.026250000000000002,HS+ACI
2020-04-02,BTC,0.01,0.009609999999999933,HS+ACI
2020-04-05,BTC,0.025,0.026406250000000003,HS+ACI
2020-04-07,BTC,0.01,0.009634999999999932,HS+ACI
2020-04-10,BTC,0.025,0.026562500000000003,HS+ACI
2020-04-12,BTC,0.01,0.00965999999999993,HS+ACI
2020-04-15,BTC,0.025,0.026718750000000003,HS+ACI
2020-04-17,BTC,0.01,0.00968499999999993,HS+ACI
2020-04-20,BTC,0.025,0.026875000000000003,HS+ACI
2020-04-22,BTC,0.01,0.009709999999999929,HS+ACI
2020-04-25,BTC,0.025,0.027031250000000003,HS+ACI
2020-04-27,BTC,0.01,0.009734999999999928,HS+ACI
2020-04-30,BTC,0.025,0.027187500000000003,HS+ACI
2020-05-02,BTC,0.01,0.009759999999999927,HS+ACI
2020-05-05,BTC,0.025,0.027343750000000003,HS+ACI
2020-05-07,BTC,0.01,0.009784999999999926,HS+ACI
2020-05-10,BTC,0.025,0.026250000000000002,HS+ACI
2020-05-12,BTC,0.01,0.009809999999999925,HS+ACI
2020-05-15,BTC,0.025,0.026406250000000003,HS+ACI
2020-05-17,BTC,0.01,0.009834999999999924,HS+ACI
2020-05-20,BTC,0.025,0.026562500000000003,HS+ACI
2020-05-22,BTC,0.01,0.009859999999999923,HS+ACI
2020-05-25,BTC,0.025,0.026718750000000003,HS+ACI
2020-05-27,BTC,0.01,0.009884999999999922,HS+ACI
2020-05-30,BTC,0.025,0.026875000000000003,HS+ACI
2020-06-01,BTC,0.01,0.00990999999999992,HS+ACI
2020-06-04,BTC,0.025,0.025781250000000002,HS+ACI
2020-06-06,BTC,0.01,0.00993499999999992,HS+ACI
2020-06-09,BTC,0.025,0.025937500000000002,HS+ACI
2020-06-11,BTC,0.01,0.009959999999999919,HS+ACI
2020-06-14,BTC,0.025,0.026093750000000002,HS+ACI
2020-06-16,BTC,0.01,0.009984999999999918,HS+ACI
2020-06-19,BTC,0.025,0.026250000000000002,HS+ACI
2020-06-21,BTC,0.01,0.010009999999999917,HS+ACI
2020-06-24,BTC,0.025,0.026406250000000003,HS+ACI
2020-06-26,BTC,0.01,0.010034999999999916,HS+ACI
2020-06-29,BTC,0.025,0.026562500000000003,HS+ACI
2020-07-01,BTC,0.01,0.010059999999999914,HS+ACI
2020-07-04,BTC,0.025,0.026718750000000003,HS+ACI
2020-07-06,BTC,0.01,0.010084999999999913,HS+ACI
2020-07-09,BTC,0.025,0.026875000000000003,HS+ACI
2020-07-11,BTC,0.01,0.010109999999999912,HS+ACI
2020-07-14,BTC,0.025,0.027031250000000003,HS+ACI
2020-07-16,BTC,0.01,0.010134999999999911,HS+ACI
2020-07-19,BTC,0.025,0.027187500000000003,HS+ACI
2020-07-21,BTC,0.01,0.01015999999999991,HS+ACI
2020-07-24,BTC,0.025,0.027343750000000003,HS+ACI
2020-07-26,BTC,0.01,0.01018499999999991,HS+ACI
2020-07-29,BTC,0.025,0.027500000000000004,HS+ACI
2020-07-31,BTC,0.01,0.010209999999999908,HS+ACI
2020-08-03,BTC,0.025,0.027656250000000004,HS+ACI
2020-08-05,BTC,0.01,0.010234999999999907,HS+ACI
2020-08-08,BTC,0.025,0.027812500000000004,HS+ACI
2020-08-10,BTC,0.01,0.010259999999999906,HS+ACI
2020-08-13,BTC,0.025,0.027968750000000004,HS+ACI
2020-08-15,BTC,0.01,0.010284999999999905,HS+ACI
2020-08-18,BTC,0.025,0.028125000000000004,HS+ACI
2020-08-20,BTC,0.01,0.010309999999999904,HS+ACI
2020-08-23,BTC,0.025,0.028281250000000004,HS+ACI
2020-08-25,BTC,0.01,0.010334999999999903,HS+ACI
2020-08-28,BTC,0.025,0.028437500000000004,HS+ACI
2020-08-30,BTC,0.01,0.010359999999999902,HS+ACI
2020-09-02,BTC,0.025,0.028593750000000005,HS+ACI
2020-09-04,BTC,0.01,0.0098849999999999,HS+ACI
2020-09-07,BTC,0.025,0.027500000000000004,HS+ACI
2020-09-09,BTC,0.01,0.0099099999999999,HS+ACI
2020-09-12,BTC,0.025,0.027656250000000004,HS+ACI
2020-09-14,BTC,0.01,0.009934999999999899,HS+ACI
2020-09-17,BTC,0.025,0.027812500000000004,HS+ACI
2020-09-19,BTC,0.01,0.009959999999999898,HS+ACI
2020-09-22,BTC,0.025,0.027968750000000004,HS+ACI
2020-09-24,BTC,0.01,0.009984999999999897,HS+ACI
2020-09-27,BTC,0.025,0.028125000000000004,HS+ACI
2020-09-29,BTC,0.01,0.010009999999999896,HS+ACI
2020-10-02,BTC,0.025,0.028281250000000004,HS+ACI
2020-10-04,BTC,0.01,0.010034999999999895,HS+ACI
2020-10-07,BTC,0.025,0.028437500000000004,HS+ACI
2020-10-09,BTC,0.01,0.010059999999999894,HS+ACI
2020-10-12,BTC,0.025,0.028593750000000005,HS+ACI
2020-10-14,BTC,0.01,0.010084999999999893,HS+ACI
2020-10-17,BTC,0.025,0.028750000000000005,HS+ACI
2020-10-19,BTC,0.01,0.010109999999999892,HS+ACI
2020-10-22,BTC,0.025,0.028906250000000005,HS+ACI
2020-10-24,BTC,0.01,0.01013499999999989,HS+ACI
2020-10-27,BTC,0.025,0.029062500000000005,HS+ACI
2020-10-29,BTC,0.01,0.01015999999999989,HS+ACI
2020-11-01,BTC,0.025,0.029218750000000005,HS+ACI
2020-11-03,BTC,0.01,0.010184999999999889,HS+ACI
2020-11-06,BTC,0.025,0.029375000000000005,HS+ACI
2020-11-08,BTC,0.01,0.010209999999999888,HS+ACI
2020-11-11,BTC,0.025,0.029531250000000005,HS+ACI
2020-11-13,BTC,0.01,0.010234999999999887,HS+ACI
2020-11-16,BTC,0.025,0.029687500000000006,HS+ACI
2020-11-18,BTC,0.01,0.010259999999999886,HS+ACI
2020-11-21,BTC,0.025,0.029843750000000006,HS+ACI
2020-11-23,BTC,0.01,0.010284999999999885,HS+ACI
2020-11-26,BTC,0.025,0.028750000000000005,HS+ACI
2020-11-28,BTC,0.01,0.010309999999999883,HS+ACI
2020-12-01,BTC,0.025,0.028906250000000005,HS+ACI
2020-12-03,BTC,0.01,0.010334999999999882,HS+ACI
2020-12-06,BTC,0.025,0.029062500000000005,HS+ACI
2020-12-08,BTC,0.01,0.010359999999999881,HS+ACI
2020-12-11,BTC,0.025,0.029218750000000005,HS+ACI
2020-12-13,BTC,0.01,0.01038499999999988,HS+ACI
2020-12-16,BTC,0.025,0.029375000000000005,HS+ACI
