asset,model,in_mcs,pla_spearman,pla_ks,pla_zone,attr_diffusion_usd,attr_jump_usd,attr_residual_usd
BTC,AWHS,True,0.9932493832903221,0.09648466716529544,amber,33384.774916189075,0.0,0.0
BTC,EGARCH-t,True,0.9869417461275366,0.09573672400897534,amber,52931.30580991418,0.0,0.0
BTC,EWMA,True,0.9999975949583688,0.0011219147344802005,green,32498.614776862505,0.0,0.0
BTC,FHS,True,0.9955019156584944,0.08975317875841435,green,34238.016145076515,0.0,0.0
BTC,GARCH-EVT,True,0.9939783776244027,0.10022438294689606,amber,36870.39110191763,0.0,0.0
BTC,GARCH-X,True,0.9980821236517605,0.0643231114435302,green,49068.42577235822,0.0,0.0
BTC,GARCH-t,True,0.9952382993716524,0.08863126402393415,green,36870.39110191763,0.0,0.0
BTC,GJR-GARCH-t,True,0.9952128882741661,0.08526551982049366,green,36837.712137178525,0.0,0.0
BTC,HAR-RV,True,0.9999974072998491,0.005983545250560995,green,33477.394814429455,0.0,0.0
BTC,HARQ,True,0.9999362609047419,0.0056095736724008916,green,34149.28237528209,0.0,0.0
BTC,HS,True,0.9953397316258794,0.09723261032161556,amber,33384.774916189075,0.0,0.0
BTC,Jump-Diffusion,True,0.9975068536351177,0.03066566940912485,green,37039.797225336726,0.0,0.0
BTC,LSTM-Vol,True,0.9988753461728949,0.0680628272251308,green,33818.74675570556,0.0,0.0
BTC,RF-QR,True,0.9802860852564821,0.09723261032161556,amber,33286.685396171335,0.0,0.0
BTC,Realized-GARCH,True,0.998378696916969,0.06394913986537032,green,35659.09875194658,0.0,0.0
BTC,Realized-SV,True,0.9957660748237545,0.07666417352281227,green,32839.25857415728,0.0,0.0
ETH,AWHS,True,0.9928758524586352,0.07778608825729244,green,43900.880231138755,0.0,0.0
ETH,EGARCH-t,True,0.9901292346641469,0.07442034405385192,green,55922.64060630109,0.0,0.0
ETH,EWMA,True,0.9999962449467432,0.0011219147344802005,green,42464.11934902241,0.0,0.0
ETH,FHS,True,0.995454824667201,0.06394913986537026,green,44520.06125666707,0.0,0.0
ETH,GARCH-EVT,True,0.9936486778226113,0.0755422587883321,green,47127.11817232414,0.0,0.0
ETH,GARCH-X,True,0.998175917137278,0.06357516828721016,green,50134.2893114969,0.0,0.0
ETH,GARCH-t,True,0.9951483946225511,0.07479431563201197,green,47127.11817232414,0.0,0.0
ETH,GJR-GARCH-t,True,0.9949722516831192,0.0736724008975318,green,47264.62852655461,0.0,0.0
ETH,HAR-RV,True,0.9999976225736693,0.005983545250560995,green,42423.38056369704,0.0,0.0
ETH,HARQ,True,0.9999776134055466,0.005983545250560995,green,42745.81510848882,0.0,0.0
ETH,HS,False,0.9950716322460382,0.07404637247569185,green,43900.880231138755,0.0,0.0
ETH,Jump-Diffusion,False,0.997373809393186,0.026551982049364264,green,48814.696488956695,0.0,0.0
ETH,LSTM-Vol,True,0.9984009435520583,0.062453253552730015,green,41564.2592336666,0.0,7548.887823145669
ETH,RF-QR,True,0.9797975900456695,0.07703814510097234,green,43811.92652636017,0.0,0.0
ETH,Realized-GARCH,True,0.9982202811176406,0.06432311144353031,green,46105.2314089963,0.0,0.0
ETH,Realized-SV,True,0.9948877085994141,0.05272999252056848,green,42351.726970446754,0.0,0.0
