date,asset,feature,importance
2019-05-16,BTC,r_lag1,0.13100071157556833
2019-05-16,BTC,r2_lag1,0.13539455067645575
2019-05-16,BTC,r2_w,0.11971007926662323
2019-05-16,BTC,r2_m,0.12350756000901139
2019-05-16,BTC,down2_lag1,0.058238010617916496
2019-05-16,BTC,log_rv_lag1,0.13258526910752383
2019-05-16,BTC,log_rv_w,0.15853157395930878
2019-05-16,BTC,log_rv_m,0.14103224478759213
2019-06-05,BTC,r_lag1,0.14962602266971314
2019-06-05,BTC,r2_lag1,0.11848059245654638
2019-06-05,BTC,r2_w,0.14170589694171914
2019-06-05,BTC,r2_m,0.13562578808325623
2019-06-05,BTC,down2_lag1,0.05841339810129522
2019-06-05,BTC,log_rv_lag1,0.1324271137020361
2019-06-05,BTC,log_rv_w,0.11813009428395545
2019-06-05,BTC,log_rv_m,0.14559109376147836
2019-06-25,BTC,r_lag1,0.14665614738298993
2019-06-25,BTC,r2_lag1,0.10224492543439175
2019-06-25,BTC,r2_w,0.14550953802861263
2019-06-25,BTC,r2_m,0.11837926408542003
2019-06-25,BTC,down2_lag1,0.05604772036487228
2019-06-25,BTC,log_rv_lag1,0.12989165391433802
2019-06-25,BTC,log_rv_w,0.11914107246937856
2019-06-25,BTC,log_rv_m,0.18212967831999682
2019-07-15,BTC,r_lag1,0.17637864033831158
2019-07-15,BTC,r2_lag1,0.10630281156839018
2019-07-15,BTC,r2_w,0.13021314080977786
2019-07-15,BTC,r2_m,0.10174566196186113
2019-07-15,BTC,down2_lag1,0.054075733325962744
2019-07-15,BTC,log_rv_lag1,0.1307924588969039
2019-07-15,BTC,log_rv_w,0.15930566667477192
2019-07-15,BTC,log_rv_m,0.1411858864240207
2019-08-04,BTC,r_lag1,0.16909231334928287
2019-08-04,BTC,r2_lag1,0.09703403714912819
2019-08-04,BTC,r2_w,0.16744332695033415
2019-08-04,BTC,r2_m,0.12828230942643432
2019-08-04,BTC,down2_lag1,0.050395775980361227
2019-08-04,BTC,log_rv_lag1,0.1470861959800894
2019-08-04,BTC,log_rv_w,0.1338917369345692
2019-08-04,BTC,log_rv_m,0.10677430422980067
2019-08-24,BTC,r_lag1,0.16853114259876523
2019-08-24,BTC,r2_lag1,0.09701786371396871
2019-08-24,BTC,r2_w,0.16426092204438714
2019-08-24,BTC,r2_m,0.11776445583286634
2019-08-24,BTC,down2_lag1,0.06005114331842537
2019-08-24,BTC,log_rv_lag1,0.14120230977223608
2019-08-24,BTC,log_rv_w,0.13867793696337982
2019-08-24,BTC,log_rv_m,0.11249422575597146
2019-09-13,BTC,r_lag1,0.15857443469937924
2019-09-13,BTC,r2_lag1,0.12194564065567462
2019-09-13,BTC,r2_w,0.17320853631022928
2019-09-13,BTC,r2_m,0.11454275986890008
2019-09-13,BTC,down2_lag1,0.059507553001454175
2019-09-13,BTC,log_rv_lag1,0.11525682556222899
2019-09-13,BTC,log_rv_w,0.13840794007108073
2019-09-13,BTC,log_rv_m,0.11855630983105286
2019-10-03,BTC,r_lag1,0.1788009656300944
2019-10-03,BTC,r2_lag1,0.1111153325128289
2019-10-03,BTC,r2_w,0.13867745583935664
2019-10-03,BTC,r2_m,0.12947173050527558
2019-10-03,BTC,down2_lag1,0.0472667242175687
2019-10-03,BTC,log_rv_lag1,0.13782362672342655
2019-10-03,BTC,log_rv_w,0.15782296326263898
2019-10-03,BTC,log_rv_m,0.09902120130881026
2019-10-23,BTC,r_lag1,0.17385496146119916
2019-10-23,BTC,r2_lag1,0.0905345464089661
2019-10-23,BTC,r2_w,0.14143338585626328
2019-10-23,BTC,r2_m,0.140739253264694
2019-10-23,BTC,down2_lag1,0.05565848305413044
2019-10-23,BTC,log_rv_lag1,0.14692680270297037
2019-10-23,BTC,log_rv_w,0.13410324461251943
2019-10-23,BTC,log_rv_m,0.11674932263925726
2019-11-12,BTC,r_lag1,0.14032602684866383
2019-11-12,BTC,r2_lag1,0.10075884327642427
2019-11-12,BTC,r2_w,0.13542075458132938
2019-11-12,BTC,r2_m,0.13628185561507183
2019-11-12,BTC,down2_lag1,0.06035810356141134
2019-11-12,BTC,log_rv_lag1,0.15521071907221312
2019-11-12,BTC,log_rv_w,0.1474573263360598
2019-11-12,BTC,log_rv_m,0.12418637070882645
2019-12-02,BTC,r_lag1,0.1412233508343648
2019-12-02,BTC,r2_lag1,0.09098299792125315
2019-12-02,BTC,r2_w,0.18785029380732254
2019-12-02,BTC,r2_m,0.1189668234874521
2019-12-02,BTC,down2_lag1,0.03684546943348392
2019-12-02,BTC,log_rv_lag1,0.16675266064543823
2019-12-02,BTC,log_rv_w,0.1437189376520345
2019-12-02,BTC,log_rv_m,0.11365946621865071
2019-12-22,BTC,r_lag1,0.15168248185729807
2019-12-22,BTC,r2_lag1,0.09452292496252311
2019-12-22,BTC,r2_w,0.16127735232260895
2019-12-22,BTC,r2_m,0.1362718708573442
2019-12-22,BTC,down2_lag1,0.031016967306174866
2019-12-22,BTC,log_rv_lag1,0.17073362260539499
2019-12-22,BTC,log_rv_w,0.14857053058135644
2019-12-22,BTC,log_rv_m,0.10592424950729938
2020-01-11,BTC,r_lag1,0.13495188838666744
2020-01-11,BTC,r2_lag1,0.09823296431655268
2020-01-11,BTC,r2_w,0.18539249860002752
2020-01-11,BTC,r2_m,0.13839809470288897
2020-01-11,BTC,down2_lag1,0.03928603345788354
2020-01-11,BTC,log_rv_lag1,0.1599365093085077
2020-01-11,BTC,log_rv_w,0.14175653366325178
2020-01-11,BTC,log_rv_m,0.10204547756422044
2020-01-31,BTC,r_lag1,0.12452608821270664
2020-01-31,BTC,r2_lag1,0.08368532404052431
2020-01-31,BTC,r2_w,0.23295247429859808
2020-01-31,BTC,r2_m,0.1425971748116244
2020-01-31,BTC,down2_lag1,0.02947413141052365
2020-01-31,BTC,log_rv_lag1,0.1277960100983877
2020-01-31,BTC,log_rv_w,0.1494677656982185
2020-01-31,BTC,log_rv_m,0.10950103142941667
2020-02-20,BTC,r_lag1,0.11021119257616523
2020-02-20,BTC,r2_lag1,0.11212256498950995
2020-02-20,BTC,r2_w,0.20802923377961677
2020-02-20,BTC,r2_m,0.132003318219694
2020-02-20,BTC,down2_lag1,0.031619148643561676
2020-02-20,BTC,log_rv_lag1,0.13991304335138513
2020-02-20,BTC,log_rv_w,0.15630533626183554
2020-02-20,BTC,log_rv_m,0.10979616217823157
2020-03-11,BTC,r_lag1,0.12006524155326004
2020-03-11,BTC,r2_lag1,0.11520609040506283
2020-03-11,BTC,r2_w,0.16433530068980515
2020-03-11,BTC,r2_m,0.14404959120142385
2020-03-11,BTC,down2_lag1,0.030293973123560802
2020-03-11,BTC,log_rv_lag1,0.1310548150386555
2020-03-11,BTC,log_rv_w,0.16999316448333446
2020-03-11,BTC,log_rv_m,0.12500182350489733
2020-03-31,BTC,r_lag1,0.1418870156058812
2020-03-31,BTC,r2_lag1,0.0986137795122681
2020-03-31,BTC,r2_w,0.15016747784889553
2020-03-31,BTC,r2_m,0.07718743418272235
2020-03-31,BTC,down2_lag1,0.06245393266375176
2020-03-31,BTC,log_rv_lag1,0.17687232791786037
2020-03-31,BTC,log_rv_w,0.15965538352321818
2020-03-31,BTC,log_rv_m,0.13316264874540246
2020-04-20,BTC,r_lag1,0.13891900839304155
2020-04-20,BTC,r2_lag1,0.09542983220463062
2020-04-20,BTC,r2_w,0.16507488619709393
2020-04-20,BTC,r2_m,0.08648109364333394
2020-04-20,BTC,down2_lag1,0.05108767056056183
2020-04-20,BTC,log_rv_lag1,0.1915866813277356
2020-04-20,BTC,log_rv_w,0.15585105017740783
2020-04-20,BTC,log_rv_m,0.11556977749619468
2020-05-10,BTC,r_lag1,0.1452125779074381
2020-05-10,BTC,r2_lag1,0.09411770437842727
2020-05-10,BTC,r2_w,0.20308272584097972
2020-05-10,BTC,r2_m,0.06969868627206259
2020-05-10,BTC,down2_lag1,0.047796103901502414
2020-05-10,BTC,log_rv_lag1,0.1832711162495451
2020-05-10,BTC,log_rv_w,0.15774737357058352
2020-05-10,BTC,log_rv_m,0.09907371187946121
2020-05-30,BTC,r_lag1,0.15774789453313207
2020-05-30,BTC,r2_lag1,0.09408921812749853
2020-05-30,BTC,r2_w,0.1785358834605041
2020-05-30,BTC,r2_m,0.07590070454581473
2020-05-30,BTC,down2_lag1,0.0458305652971253
2020-05-30,BTC,log_rv_lag1,0.20593111599733277
2020-05-30,BTC,log_rv_w,0.14598849909673992
2020-05-30,BTC,log_rv_m,0.09597611894185266
2020-06-19,BTC,r_lag1,0.13472006159357827
2020-06-19,BTC,r2_lag1,0.10857386748809192
2020-06-19,BTC,r2_w,0.15629306946024155
2020-06-19,BTC,r2_m,0.07278403605500908
2020-06-19,BTC,down2_lag1,0.0552004909629366
2020-06-19,BTC,log_rv_lag1,0.21257117933853967
2020-06-19,BTC,log_rv_w,0.15433442124601446
2020-06-19,BTC,log_rv_m,0.10552287385558858
2020-07-09,BTC,r_lag1,0.13749374906828993
2020-07-09,BTC,r2_lag1,0.09715953713211341
2020-07-09,BTC,r2_w,0.18777548033408573
2020-07-09,BTC,r2_m,0.06739134276611236
2020-07-09,BTC,down2_lag1,0.059237598538312224
2020-07-09,BTC,log_rv_lag1,0.17942180961949472
2020-07-09,BTC,log_rv_w,0.17362030468201278
2020-07-09,BTC,log_rv_m,0.09790017785957895
2020-07-29,BTC,r_lag1,0.16486962356609347
2020-07-29,BTC,r2_lag1,0.11969460992772857
2020-07-29,BTC,r2_w,0.1557460355297774
2020-07-29,BTC,r2_m,0.06853037121589646
2020-07-29,BTC,down2_lag1,0.05654231793587429
2020-07-29,BTC,log_rv_lag1,0.19802199400427267
2020-07-29,BTC,log_rv_w,0.1412540567204939
2020-07-29,BTC,log_rv_m,0.09534099109986331
2020-08-18,BTC,r_lag1,0.1504227855114317
2020-08-18,BTC,r2_lag1,0.1054366232835949
2020-08-18,BTC,r2_w,0.15783290370934872
2020-08-18,BTC,r2_m,0.055677868752262875
2020-08-18,BTC,down2_lag1,0.05311331412652897
2020-08-18,BTC,log_rv_lag1,0.2294165630176295
2020-08-18,BTC,log_rv_w,0.1539631441150488
2020-08-18,BTC,log_rv_m,0.09413679748415446
2020-09-07,BTC,r_lag1,0.1500091580588729
2020-09-07,BTC,r2_lag1,0.11162446698474554
2020-09-07,BTC,r2_w,0.14218445957054426
2020-09-07,BTC,r2_m,0.11494753626880808
2020-09-07,BTC,down2_lag1,0.052306711797450965
2020-09-07,BTC,log_rv_lag1,0.17800136363986324
2020-09-07,BTC,log_rv_w,0.14746443432847953
2020-09-07,BTC,log_rv_m,0.1034618693512354
2020-09-27,BTC,r_lag1,0.16542733591910924
2020-09-27,BTC,r2_lag1,0.10538224875629534
2020-09-27,BTC,r2_w,0.17186107065008127
2020-09-27,BTC,r2_m,0.08604293274712677
2020-09-27,BTC,down2_lag1,0.056881161154103584
2020-09-27,BTC,log_rv_lag1,0.19385747491998603
2020-09-27,BTC,log_rv_w,0.1028781809275981
2020-09-27,BTC,log_rv_m,0.11766959492569962
2020-10-17,BTC,r_lag1,0.15720782575988557
2020-10-17,BTC,r2_lag1,0.12372128299519633
2020-10-17,BTC,r2_w,0.10896763756361563
2020-10-17,BTC,r2_m,0.08861063607461096
