asset,date,feature,value,zscore
BTC,2026-09-10,r_lag1,0.0002937316178073246,0.04279399664147618
BTC,2026-09-10,r2_lag1,8.627826329970821e-08,-0.3723504976948604
BTC,2026-09-10,r2_w,7.140119887684001e-05,-0.5461523176341166
BTC,2026-09-10,r2_m,0.0006154852298044318,0.38346850350762973
BTC,2026-09-10,down2_lag1,0.0,-0.2368280969722349
BTC,2026-09-10,log_rv_lag1,-8.112289421241286,-0.10071753115634766
BTC,2026-09-10,log_rv_w,-8.489913476160444,-0.7196463899052956
BTC,2026-09-10,log_rv_m,-7.951513653899425,0.12985604638882187
ETH,2026-09-10,r_lag1,0.0010915423526043355,0.03382809238207692
ETH,2026-09-10,r2_lag1,1.1914647075290076e-06,-0.4557236659598773
ETH,2026-09-10,r2_w,7.721520109042511e-05,-0.8186837717260067
ETH,2026-09-10,r2_m,0.0007042776976889271,-0.6925436251652572
ETH,2026-09-10,down2_lag1,0.0,-0.3167764333448066
ETH,2026-09-10,log_rv_lag1,-7.684982258192013,-0.570002060839172
ETH,2026-09-10,log_rv_w,-7.794412984479666,-0.9607500309374203
ETH,2026-09-10,log_rv_m,-7.408268911283056,-0.5235426357945054
