asset,alpha,asof,date,lag,ret,per_day,c_return,c_squared,c_down_squared,base_var,flat_var
BTC,0.025,2026-09-23,2026-09-04,20,-0.019409530491611093,0.0035187128763158604,0.0034179759649770255,4.8293998305658226e-05,4.9256974083297655e-05,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-05,19,0.0017024346747565033,-0.0002818418632928796,-0.0002822015243776829,3.574407846859695e-07,0.0,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-06,18,0.00627775122681129,-0.0009332271788608515,-0.0009375605808111392,4.429900859553859e-06,0.0,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-07,17,-0.015646579713967768,0.0021626172570859414,0.002111719279179268,2.4212961737900274e-05,2.5371308495746037e-05,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-08,16,-0.007965287898837659,0.00093670468248222,0.0009253948468342238,5.4371285522908375e-06,5.707884876075819e-06,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-09,15,-0.003041099735005659,0.0003040494963690507,0.0003026400335040397,6.82384512187828e-07,7.148787571076287e-07,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-10,14,0.0002937316178073246,-2.502784472955405e-05,-2.503868227949485e-05,0.0,0.0,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-11,13,-0.012926782591144194,0.0009702035393945457,0.0009514052931384326,9.054299795530074e-06,9.541621208544737e-06,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-12,12,0.0006864528361080594,-4.3108470800010124e-05,-4.313015452398622e-05,2.1663157920293052e-08,0.0,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-13,11,-0.005667260212669204,0.0003090952277016584,0.00030645946828535,1.2781086429006216e-06,1.3539275173432563e-06,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-14,10,0.017380162682425288,-0.0007949262353989447,-0.000805210071721435,1.0375470165843725e-05,0.0,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-15,9,-0.033087188533483976,0.001394718635742781,0.001327988630895477,3.239653558644723e-05,3.41607900942939e-05,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-16,8,0.007395861015404931,-0.00025430894649840913,-0.00025570317110278074,1.397252531641635e-06,0.0,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-17,7,0.002764984396547914,-8.226443141188394e-05,-8.243805086158296e-05,1.6247343257586033e-07,0.0,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-18,6,0.05680910686215356,-0.0014083060867189842,-0.001469833880063734,6.137357456460074e-05,0.0,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-19,5,0.0045162759007227075,-0.00010059579028376398,-0.00010093231405620268,3.357777868806533e-07,0.0,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-20,4,-0.000886423635653308,1.7229778190124e-05,1.7208123237681672e-05,1.0831580250780792e-08,1.0831580250780792e-08,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-21,3,0.06488646128921773,-0.001065944135571248,-0.0011192637516614368,5.2134959667181346e-05,0.0,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-22,2,-0.004761259102827971,7.27623921299575e-05,7.225412030139461e-05,2.4912569236701376e-07,2.5995721322086274e-07,0.045430945780655,0.04022727251432413
BTC,0.025,2026-09-23,2026-09-23,1,-0.021230511505009715,0.0003139252606550458,0.0003043937859514151,4.538205984144783e-06,5.0797277338018865e-06,0.045430945780655,0.04022727251432413
