"asset","date","p_point","p_lo","p_med","p_hi","p_sd","n_ok"
"BTC",2019-05-16,0.198370373029803,0.0952326559439475,0.970298858172815,0.99938145953866,0.334343531962168,25
"BTC",2019-08-14,0.741472525818497,0.165420382507361,0.997333026762593,0.99999999999999,0.281108088504796,25
"BTC",2019-11-12,0.0623666848971844,0.067743700856747,0.545926075923923,0.823386056415349,0.252369393233922,25
"BTC",2020-02-10,0.418912281637831,0.189704726714396,0.929475241696734,0.999999614271737,0.275232822397117,25
"BTC",2020-05-10,0.881571749011406,0.0728328261355922,0.794528511439029,1,0.362467611549536,25
"BTC",2020-08-08,0.202717854007959,0.0292539749795079,0.525544395405449,0.941312820381316,0.321029302416528,25
"BTC",2020-11-06,0.296793302147057,0.104863080477914,0.30779930970586,0.897711577827841,0.27404696515952,25
"BTC",2021-02-04,0.701046942492176,0.237347157558987,0.468723195202214,0.917198738138291,0.202789926413577,25
"BTC",2021-05-05,0.701772338262814,0.0455619815989815,0.688221241029442,0.999991976854047,0.391676005897501,25
"BTC",2021-08-03,0.990627854503216,0.244596097310421,0.709232264810903,0.990184935383428,0.244860099753926,25
"BTC",2021-11-01,0.950718188266107,0.0922098028261739,0.399811660156032,0.808778017430152,0.241459324599867,25
"BTC",2022-01-30,0.160412388375706,0.0643167030729071,0.335077927599158,0.570430019870861,0.191774481565202,25
"BTC",2022-04-30,0.0365405385599285,0.0491901101073479,0.377699794987454,0.849157564355189,0.252106231419041,25
"BTC",2022-07-29,0.410918442155023,0.205658618349435,0.346994534361219,0.793938017580504,0.200996237741895,25
"BTC",2022-10-27,0.47017973531237,0.296605638899648,0.4612507134535,0.993903275685793,0.227619558806556,24
"BTC",2023-01-25,0.331575763328722,0.298283431362027,0.533006676650248,0.962165340805028,0.225914410999843,25
"BTC",2023-04-25,0.497020126338101,0.0173791688032912,0.628273370622694,0.999995532081768,0.361961094379462,25
"BTC",2023-07-24,0.980540143599572,0.487621862566221,0.93011862574466,0.999806805915755,0.198243143412434,25
"BTC",2023-10-22,0.152327820074545,0.0950360069532073,0.204652345894721,0.545699922516641,0.159856646760777,25
"BTC",2024-01-20,0.156622834962849,0.105823570124995,0.180635499183823,0.528947981740616,0.161413377490814,25
"BTC",2024-04-19,0.303528205562248,0.246515528199036,0.391787182282413,0.590798119006555,0.123722437940292,25
"BTC",2024-07-18,0.197369669406434,0.163346151560275,0.277287898154845,0.505740781140226,0.120057392697859,25
"BTC",2024-10-16,0.240631657882157,0.165031369533659,0.424229392628861,0.972656834406717,0.284098782226096,25
"BTC",2025-01-14,0.733944849111898,0.325628239511704,0.900412940187796,0.983970819836017,0.266007475147284,25
"BTC",2025-04-14,0.483895017775323,0.247102813081607,0.346091980822012,0.977840804847876,0.242689556634177,25
"BTC",2025-07-13,0.514572007448367,0.0556149096690781,0.445183656198838,0.767445051952882,0.248670016823144,25
"BTC",2025-10-11,0.983196320975411,0.316568257038868,0.840356712982471,0.997379903395765,0.260770993556265,25
"BTC",2026-01-09,0.876301781707124,0.265739210821607,0.587005396477796,0.976237558152843,0.205856915580411,25
"BTC",2026-04-09,0.546606302450015,0.0650049357835745,0.442914444572767,0.976980785801851,0.297250924662471,25
"BTC",2026-07-08,0.268737606985447,0.0374015342343139,0.328989053305659,0.834296877390644,0.295124472729418,25
